Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
PRI,2000-01-01,2000-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2000,2000,I$,30124.7,X,
PRI,2001-01-01,2001-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2001,2001,I$,31958.1,X,
PRI,2002-01-01,2002-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2002,2002,I$,32209.4,X,
PRI,2003-01-01,2003-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2003,2003,I$,32206.5,X,
PRI,2004-01-01,2004-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2004,2004,I$,35016.9,X,
PRI,2005-01-01,2005-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2005,2005,I$,34370.7,X,
PRI,2006-01-01,2006-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2006,2006,I$,34030.1,X,
PRI,2007-01-01,2007-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2007,2007,I$,33831.9,X,
PRI,2008-01-01,2008-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2008,2008,I$,33403.4,X,
PRI,2009-01-01,2009-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2009,2009,I$,32930.4,X,
PRI,2010-01-01,2010-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2010,2010,I$,32960.7,X,
PRI,2011-01-01,2011-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2011,2011,I$,33224.6,X,
PRI,2012-01-01,2012-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2012,2012,I$,33638.9,X,
PRI,2013-01-01,2013-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2013,2013,I$,33922.2,X,
PRI,2014-01-01,2014-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2014,2014,I$,34070.3,X,
PRI,2015-01-01,2015-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2015,2015,I$,34311,X,
PRI,2016-01-01,2016-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2016,2016,I$,34539.6,X,
PRI,2017-01-01,2017-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2017,2017,I$,34363.8,X,
PRI,2018-01-01,2018-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2018,2018,I$,34223.1,X,
PRI,2019-01-01,2019-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2019,2019,I$,34792.7,X,
PRI,2020-01-01,2020-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2020,2020,I$,32387.2,X,
PRI,2021-01-01,2021-12-31,177,'630,Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2021,2021,I$,32632.9,X,
PRI,2000-01-01,2002-12-31,177,'630,Puerto Rico,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20002002,2002,%,,E,
PRI,2001-01-01,2003-12-31,177,'630,Puerto Rico,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20012003,2003,%,,E,
PRI,2002-01-01,2004-12-31,177,'630,Puerto Rico,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20022004,2004,%,,E,
PRI,2003-01-01,2005-12-31,177,'630,Puerto Rico,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20032005,2005,%,,E,
PRI,2004-01-01,2006-12-31,177,'630,Puerto Rico,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20042006,2006,%,,E,
PRI,2005-01-01,2007-12-31,177,'630,Puerto Rico,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20052007,2007,%,,E,
PRI,2006-01-01,2008-12-31,177,'630,Puerto Rico,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20062008,2008,%,,E,
PRI,2007-01-01,2009-12-31,177,'630,Puerto Rico,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20072009,2009,%,,E,
PRI,2008-01-01,2010-12-31,177,'630,Puerto Rico,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20082010,2010,%,,E,
PRI,2009-01-01,2011-12-31,177,'630,Puerto Rico,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20092011,2011,%,,E,
PRI,2010-01-01,2012-12-31,177,'630,Puerto Rico,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20102012,2012,%,,E,
PRI,2011-01-01,2013-12-31,177,'630,Puerto Rico,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20112013,2013,%,,E,
PRI,2012-01-01,2014-12-31,177,'630,Puerto Rico,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20122014,2014,%,,E,
PRI,2013-01-01,2015-12-31,177,'630,Puerto Rico,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20132015,2015,%,,E,
PRI,2014-01-01,2016-12-31,177,'630,Puerto Rico,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20142016,2016,%,,E,
PRI,2015-01-01,2017-12-31,177,'630,Puerto Rico,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20152017,2017,%,,E,
PRI,2016-01-01,2018-12-31,177,'630,Puerto Rico,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20162018,2018,%,,E,
PRI,2017-01-01,2019-12-31,177,'630,Puerto Rico,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20172019,2019,%,,E,
PRI,2018-01-01,2020-12-31,177,'630,Puerto Rico,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20182020,2020,%,,E,
PRI,2019-01-01,2021-12-31,177,'630,Puerto Rico,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20192021,2021,%,,E,
PRI,2020-01-01,2022-12-31,177,'630,Puerto Rico,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20202022,2022,%,,E,
PRI,2000-01-01,2002-12-31,177,'630,Puerto Rico,210011,Number of people undernourished (million) (3-year average),6132,Value,20002002,2002,million No,,O,
PRI,2001-01-01,2003-12-31,177,'630,Puerto Rico,210011,Number of people undernourished (million) (3-year average),6132,Value,20012003,2003,million No,,O,
PRI,2002-01-01,2004-12-31,177,'630,Puerto Rico,210011,Number of people undernourished (million) (3-year average),6132,Value,20022004,2004,million No,,O,
PRI,2003-01-01,2005-12-31,177,'630,Puerto Rico,210011,Number of people undernourished (million) (3-year average),6132,Value,20032005,2005,million No,,O,
